Date,brand,hits_page_pagetitle,page_views
2019-05-27,the-new-yorker,The New Yorker,114160
2019-05-28,the-new-yorker,How Football Leaks Is Exposing Corruption in European Soccer | The New Yorker,176531
2019-05-29,the-new-yorker,The New Yorker,133534
2019-05-30,the-new-yorker,The New Yorker,122487
2019-05-31,the-new-yorker,The New Yorker,110155
2019-06-01,the-new-yorker,The New Yorker,89248
2019-06-02,the-new-yorker,The New Yorker,93806
2019-06-03,the-new-yorker,Keanu Reeves Is Too Good for This World | The New Yorker,252048
2019-06-04,the-new-yorker,Keanu Reeves Is Too Good for This World | The New Yorker,381921
2019-06-05,the-new-yorker,"What HBO’s “Chernobyl” Got Right, and What It Got Terribly Wrong | The New Yorker",309714
2019-06-06,the-new-yorker,"What HBO’s “Chernobyl” Got Right, and What It Got Terribly Wrong | The New Yorker",291051
2019-06-07,the-new-yorker,The New Yorker,108143
2019-06-08,the-new-yorker,The New Yorker,89734
2019-06-09,the-new-yorker,Keanu Reeves Is Too Good for This World | The New Yorker,127895
2019-06-10,the-new-yorker,Trump Says He Has Made Deal to Add Hawaii as Fiftieth State,165580
2019-06-11,the-new-yorker,The New Yorker,118450
2019-06-12,the-new-yorker,The New Yorker,110515
2019-06-13,the-new-yorker,What Kurt Vonnegut’s “Slaughterhouse-Five” Tells Us Now | The New Yorker,119155
2019-06-14,the-new-yorker,Inside the Cultish Dreamworld of Augusta National | The New Yorker,140128
2019-06-15,the-new-yorker,Can Elizabeth Warren Win It All? | The New Yorker,278066
2019-06-16,the-new-yorker,Can Elizabeth Warren Win It All? | The New Yorker,179087
2019-06-17,the-new-yorker,Is Sarah Huckabee Sanders the Future of the Republican Party? | The New Yorker,135121
2019-06-18,the-new-yorker,The New Yorker,129783
2019-06-19,the-new-yorker,The New Yorker,117172
2019-06-20,the-new-yorker,What Are the Chances of Trump Being Reëlected? | The New Yorker,131132
2019-06-21,the-new-yorker,The New Yorker,112664
2019-06-22,the-new-yorker,Inside a Texas Building Where the Government Is Holding Immigrant Children | The New Yorker,220861
2019-06-23,the-new-yorker,Inside a Texas Building Where the Government Is Holding Immigrant Children | The New Yorker,306092
